"","species","mass","bmr"
"621","Rangifer_tarandus",94100,133.3167
"622","Alces_americanus",350000,318.4316
"623","Cervus_elaphus",58000,90.5833
"624","Antilocapra_americana",37800,59.0361
"625","Oryx_leucoryx",84100,103.9361
"626","Connochaetes_taurinus",140000,156.1778
"627","Madoqua_kirkii",4600,10.7778
"628","Raphicerus_campestris",8500,18.2528
"629","Gazella_subgutturosa",17100,25.6583
"630","Taurotragus_oryx",150000,200.8
"631","Oreamnos_americanus",32000,46.4083
"632","Ovis_canadensis",65000,130.5194
"633","Ovibos_moschatus",224500,139.1889
"634","Philantomba_monticola",4400,10.5528
"635","Kobus_ellipsiprymnus",1e+05,148.9278
"636","Tursiops_truncatus",148600,323.2556
"637","Orcinus_orca",3221000,2173.8889
"638","Phocoena_phocoena",28500,108.0972
